z,H_SI,H_km_s_Mpc
1.71625,5.780223194549407e-18,178.3590512743752
1.7175,5.783824414938367e-18,178.47017332457742
1.71875,5.787426707644941e-18,178.58132846304386
1.72,5.791030072193505e-18,178.69251667509832
1.72125,5.794634508109021e-18,178.8037379460826
1.7225000000000001,5.79824001491704e-18,178.91499226135682
1.7237500000000001,5.801846592143701e-18,179.02627960629906
1.725,5.805454239315736e-18,179.13759996630583
1.72625,5.809062955960454e-18,179.24895332679145
1.7275,5.812672741605756e-18,179.36033967318843
1.72875,5.8162835957801284e-18,179.4717589909474
1.73,5.819895518012639e-18,179.58321126553687
1.73125,5.823508507832938e-18,179.6946964824434
1.7325,5.827122564771256e-18,179.8062146271714
1.7337500000000001,5.830737688358411e-18,179.91776568524347
1.735,5.834353878125792e-18,180.02934964219972
1.73625,5.837971133605373e-18,180.14096648359842
1.7375,5.8415894543297025e-18,180.25261619501552
1.73875,5.845208839831912e-18,180.36429876204494
1.74,5.848829289645702e-18,180.47601417029819
1.74125,5.852450803305351e-18,180.58776240540465
1.7425,5.8560733803457125e-18,180.69954345301133
1.7437500000000001,5.8596970203022156e-18,180.81135729878312
1.745,5.8633217227108546e-18,180.92320392840227
1.74625,5.866947487108202e-18,181.0350833275689
1.7475,5.870574313031399e-18,181.14699548200073
1.74875,5.874202200018156e-18,181.2589403774329
1.75,5.877831147606751e-18,181.37091799961826
1.75125,5.88146115533603e-18,181.48292833432703
1.7525,5.885092222745412e-18,181.59497136734717
1.7537500000000001,5.888724349374872e-18,181.7070470844838
1.7550000000000001,5.892357534764957e-18,181.81915547155967
1.75625,5.8959917784567765e-18,181.9312965144149
1.7575,5.8996270799920016e-18,182.04347019890696
1.75875,5.903263438912866e-18,182.1556765109106
1.76,5.906900854762168e-18,182.26791543631816
1.76125,5.910539327083263e-18,182.38018696103896
1.7625,5.914178855420067e-18,182.49249107099973
1.76375,5.9178194393170535e-18,182.60482775214444
1.7650000000000001,5.921461078319258e-18,182.7171969904343
1.76625,5.925103771972268e-18,182.82959877184763
1.7675,5.928747519822226e-18,182.94203308237988
1.76875,5.932392321415838e-18,183.0544999080438
1.77,5.936038176300355e-18,183.16699923486905
1.77125,5.939685084023586e-18,183.27953104890247
1.7725,5.9433330441338894e-18,183.39209533620786
1.77375,5.9469820561801795e-18,183.50469208286614
1.7750000000000001,5.950632119711918e-18,183.61732127497518
1.77625,5.954283234279115e-18,183.72998289864972
1.7775,5.957935399432331e-18,183.8426769400216
1.77875,5.961588614722679e-18,183.95540338523946
1.78,5.96524287970181e-18,184.0681622204688
1.78125,5.968898193921926e-18,184.180953431892
1.7825,5.972554556935777e-18,184.2937770057083
1.78375,5.976211968296653e-18,184.4066329281338
1.7850000000000001,5.9798704275583906e-18,184.51952118540123
1.7862500000000001,5.983529934275363e-18,184.63244176376003
1.7875,5.987190488002494e-18,184.74539464947654
1.78875,5.990852088295242e-18,184.85837982883368
1.79,5.994514734709606e-18,184.97139728813102
1.79125,5.998178426802126e-18,185.08444701368475
1.7925,6.001843164129881e-18,185.19752899182785
1.79375,6.005508946250485e-18,185.31064320890965
1.795,6.009175772722088e-18,185.4237896512961
1.7962500000000001,6.0128436431033784e-18,185.53696830536973
1.7975,6.016512556953579e-18,185.6501791575296
1.79875,6.020182513832442e-18,185.7634221941911
1.8,6.023853513300259e-18,185.87669740178617
1.80125,6.027525554917851e-18,185.99000476676326
1.8025,6.031198638246569e-18,186.103344275587
1.80375,6.034872762848296e-18,186.21671591473856
1.805,6.038547928285443e-18,186.3301196707153
1.8062500000000001,6.0422241341209555e-18,186.4435555300312
1.8075,6.045901379918296e-18,186.55702347921607
1.80875,6.049579665241464e-18,186.67052350481634
1.81,6.053258989654981e-18,186.78405559339458
1.81125,6.0569393527238965e-18,186.8976197315296
1.8125,6.0606207540137784e-18,187.01121590581621
1.81375,6.064303193090724e-18,187.1248441028656
1.815,6.067986669521354e-18,187.23850430930506
1.8162500000000001,6.071671182872805e-18,187.35219651177786
1.8175000000000001,6.0753567327127395e-18,187.4659206969434
1.81875,6.079043318609341e-18,187.57967685147727
1.82,6.082730940131309e-18,187.6934649620709
1.82125,6.0864195968478624e-18,187.80728501543175
1.8225,6.0901092883287386e-18,187.92113699828332
1.82375,6.093800014144194e-18,188.03502089736517
1.825,6.097491773864998e-18,188.14893669943254
1.82625,6.1011845670624355e-18,188.2628843912567
1.8275000000000001,6.104878393308307e-18,188.37686395962479
1.82875,6.108573252174926e-18,188.4908753913398
1.83,6.1122691432351185e-18,188.6049186732205
1.83125,6.115966066062221e-18,188.71899379210146
1.8325,6.119664020230087e-18,188.83310073483312
1.83375,6.1233630053130734e-18,188.94723948828153
1.835,6.127063020886049e-18,189.06141003932854
1.83625,6.130764066524391e-18,189.1756123748716
1.8375000000000001,6.13446614180399e-18,189.28984648182413
1.83875,6.13816924630123e-18,189.40411234711468
1.84,6.141873379593016e-18,189.51840995768785
1.84125,6.14557854125675e-18,189.63273930050372
1.8425,6.14928473087034e-18,189.74710036253782
1.84375,6.152991948012197e-18,189.86149313078133
1.845,6.156700192261238e-18,189.97591759224093
